"symbol","cik","exchange","industry","sector"
"OVV","0001792580","NYSE","Oil & Gas Exploration & Production","Energy"
"CINT","0001868995","NYSE","Software - Infrastructure","Technology"
"KTB","0001760965","NYSE","Apparel - Manufacturers","Consumer Cyclical"
"FTK","0000928054","NYSE","Oil & Gas Equipment & Services","Energy"
"MLR","0000924822","NYSE","Auto - Parts","Consumer Cyclical"
"FPI","0001591670","NYSE","REIT - Specialty","Real Estate"
"ARI","0001467760","NYSE","REIT - Mortgage","Real Estate"
"MCI","0000275694","NYSE","Asset Management","Financial Services"
"YRD","0001631761","NYSE","Financial - Credit Services","Financial Services"
"AII","0002007587","NYSE","Insurance - Property & Casualty","Financial Services"
"SAY","0001377936","NYSE","Investment - Banking & Investment Services","Financial Services"
"XYF","0001725033","NYSE","Financial - Credit Services","Financial Services"
"HPE","0001645590","NYSE","Communication Equipment","Technology"
"ALZN","0001677077","NASDAQ","Biotechnology","Healthcare"
"SAT","0001377936","NYSE","Asset Management","Financial Services"
"GPRK","0001464591","NYSE","Oil & Gas Exploration & Production","Energy"
"SAZ","0001377936","NYSE","Investment - Banking & Investment Services","Financial Services"
"APOG","0000006845","NASDAQ","Construction","Industrials"
"NOA","0001368519","NYSE","Oil & Gas Equipment & Services","Energy"
"SAJ","0001377936","NYSE","Investment - Banking & Investment Services","Financial Services"
"TCI","0000733590","NYSE","Real Estate - Services","Real Estate"
"PRVA","0001759655","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"ASIX","0001673985","NYSE","Chemicals","Basic Materials"
"STLA","0001605484","NYSE","Auto - Manufacturers","Consumer Cyclical"
"RYAM","0001597672","NYSE","Chemicals","Basic Materials"
"TECH","0000842023","NASDAQ","Biotechnology","Healthcare"
"SWKS","0000004127","NASDAQ","Semiconductors","Technology"
"LSCC","0000855658","NASDAQ","Semiconductors","Technology"
"RNA","0001599901","NASDAQ","Biotechnology","Healthcare"
"GTM","0001794515","NASDAQ","Software - Application","Technology"
"APA","0001841666","NASDAQ","Oil & Gas Exploration & Production","Energy"
"POOL","0000945841","NASDAQ","Industrial - Distribution","Industrials"
"PPC","0000802481","NASDAQ","Packaged Foods","Consumer Defensive"
"RNWWW","0001848763","NASDAQ","Renewable Utilities","Utilities"
"PEGA","0001013857","NASDAQ","Software - Application","Technology"
"MORN","0001289419","NASDAQ","Financial - Data & Stock Exchanges","Financial Services"
"CPB","0000016732","NASDAQ","Packaged Foods","Consumer Defensive"
"HSIC","0001000228","NASDAQ","Medical - Distribution","Healthcare"
"DRS","0001833756","NASDAQ","Aerospace & Defense","Industrials"
"OXLCG","0001495222","NASDAQ","Asset Management","Financial Services"
"LXFR","0001096056","NYSE","Industrial - Machinery","Industrials"
"OBA","0002034313","NASDAQ","Shell Companies","Financial Services"
"EICA","0001754836","NYSE","Asset Management - Income","Financial Services"
"JENA","0002060337","NYSE","Shell Companies","Financial Services"
"SI","0001699350","NYSE","Medical - Specialties","Healthcare"
"BRT","0000014846","NYSE","REIT - Residential","Real Estate"
"CIO","0001593222","NYSE","REIT - Office","Real Estate"
"BNT","0001837429","NYSE","Insurance - Diversified","Financial Services"
"SRG","0001628063","NYSE","REIT - Retail","Real Estate"
"EMPD","0001829794","NASDAQ","Auto - Recreational Vehicles","Consumer Cyclical"
"CDR-PB","0000761648","NYSE","REIT - Retail","Real Estate"
"NVA","0001852551","NASDAQ","Other Precious Metals","Basic Materials"
"MEI","0000065270","NYSE","Hardware, Equipment & Parts","Technology"
"APADU","0002030218","NASDAQ","Shell Companies","Financial Services"
"KRP","0001657788","NYSE","Oil & Gas Exploration & Production","Energy"
"RAC","0002047497","NYSE","Shell Companies","Financial Services"
"BATRA","0001958140","NASDAQ","Entertainment","Communication Services"
"ETHMW","0002028699","NASDAQ","Financial - Conglomerates","Financial Services"
"EGY","0000894627","NYSE","Oil & Gas Exploration & Production","Energy"
"PHM","0000822416","NYSE","Residential Construction","Consumer Cyclical"
"COGT","0001622229","NASDAQ","Biotechnology","Healthcare"
"WULF","0001083301","NASDAQ","Financial - Capital Markets","Financial Services"
"CACC","0000885550","NASDAQ","Financial - Credit Services","Financial Services"
"CAMT","0001109138","NASDAQ","Semiconductors","Technology"
"BLTE","0001889109","NASDAQ","Biotechnology","Healthcare"
"ACIW","0000935036","NASDAQ","Software - Infrastructure","Technology"
"NET","0001477333","NYSE","Software - Infrastructure","Technology"
"JILL","0001687932","NYSE","Apparel - Retail","Consumer Cyclical"
"IPAR","0000822663","NASDAQ","Household & Personal Products","Consumer Defensive"
"CVCO","0000278166","NASDAQ","Residential Construction","Consumer Cyclical"
"CRSP","0001674416","NASDAQ","Biotechnology","Healthcare"
"BRBI","0002058601","NASDAQ","Asset Management","Financial Services"
"SLAB","0001038074","NASDAQ","Semiconductors","Technology"
"VICR","0000751978","NASDAQ","Hardware, Equipment & Parts","Technology"
"FFIN","0000036029","NASDAQ","Banks - Regional","Financial Services"
"SIGI","0000230557","NASDAQ","Insurance - Property & Casualty","Financial Services"
"GLNG","0001207179","NASDAQ","Oil & Gas Midstream","Energy"
"CNTA","0001847903","NASDAQ","Biotechnology","Healthcare"
"OS","0001889956","NASDAQ","Software - Application","Technology"
"TCBI","0001077428","NASDAQ","Banks - Regional","Financial Services"
"DRDB","0002032528","NASDAQ","Financial - Conglomerates","Financial Services"
"NOVT","0001076930","NASDAQ","Hardware, Equipment & Parts","Technology"
"PSMT","0001041803","NASDAQ","Discount Stores","Consumer Defensive"
"BANF","0000760498","NASDAQ","Banks - Regional","Financial Services"
"GBDC","0001476765","NASDAQ","Asset Management","Financial Services"
"FTDR","0001727263","NASDAQ","Personal Products & Services","Consumer Cyclical"
"EXPO","0000851520","NASDAQ","Consulting Services","Industrials"
"CRVL","0000874866","NASDAQ","Insurance - Brokers","Financial Services"
"INDB","0000776901","NASDAQ","Banks - Regional","Financial Services"
"VHC","0001082324","NYSE","Software - Infrastructure","Technology"
"VRRM","0001682745","NASDAQ","Information Technology Services","Technology"
"INTA","0001565687","NASDAQ","Software - Application","Technology"
"MIRM","0001759425","NASDAQ","Biotechnology","Healthcare"
"ARQT","0001787306","NASDAQ","Biotechnology","Healthcare"
"MZTI","0000057515","NASDAQ","Packaged Foods","Consumer Defensive"
"RNST","0000715072","NASDAQ","Banks - Regional","Financial Services"
"RARE","0001515673","NASDAQ","Biotechnology","Healthcare"
"CGON","0001991792","NASDAQ","Biotechnology","Healthcare"
"IPGP","0001111928","NASDAQ","Semiconductors","Technology"
"GMRE","0001533615","NYSE","REIT - Healthcare Facilities","Real Estate"
"SPRU","0001772720","NYSE","Solar","Energy"
"SRFM","0001936224","NYSE","Airlines, Airports & Air Services","Industrials"
"USLM","0000082020","NASDAQ","Construction Materials","Basic Materials"
"PTRN","0001811935","NASDAQ","Software - Application","Technology"
"BODI","0001826889","NYSE","Internet Content & Information","Communication Services"
"FIBK","0000860413","NASDAQ","Banks - Regional","Financial Services"
"LIVN","0001639691","NASDAQ","Medical - Devices","Healthcare"
"XENE","0001582313","NASDAQ","Biotechnology","Healthcare"
"FULT","0000700564","NASDAQ","Banks - Regional","Financial Services"
"TLX","0002007191","NASDAQ","Biotechnology","Healthcare"
"TENB","0001660280","NASDAQ","Software - Infrastructure","Technology"
"PCH","0001338749","NASDAQ","REIT - Specialty","Real Estate"
"ATEC","0001350653","NASDAQ","Medical - Devices","Healthcare"
"CATY","0000861842","NASDAQ","Banks - Regional","Financial Services"
"VIRT","0001592386","NASDAQ","Financial - Capital Markets","Financial Services"
"APPN","0001441683","NASDAQ","Software - Infrastructure","Technology"
"IRMD","0001325618","NASDAQ","Medical - Devices","Healthcare"
"OMDA","0001611115","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"EEFT","0001029199","NASDAQ","Software - Infrastructure","Technology"
"IDYA","0001676725","NASDAQ","Biotechnology","Healthcare"
"VNCE","0001579157","NYSE","Apparel - Manufacturers","Consumer Cyclical"
"TLNC","0002073340","NASDAQ","Asset Management","Financial Services"
"AXIN","0002057030","NASDAQ","Shell Companies","Financial Services"
"ENFY","0000857949","NYSE","Agricultural Inputs","Basic Materials"
"RPT","0001614806","NYSE","REIT - Mortgage","Real Estate"
"SOS","0001346610","NYSE","Software - Infrastructure","Technology"
"NRUC","0000070502","NYSE","Financial - Credit Services","Financial Services"
"QVCC","0001254699","NYSE","Broadcasting","Communication Services"
"NXPI","0001413447","NASDAQ","Semiconductors","Technology"
"PTHS","0001919246","NYSE","Biotechnology","Healthcare"
"VFS","0001913510","NASDAQ","Auto - Manufacturers","Consumer Cyclical"
"NTES","0001110646","NASDAQ","Electronic Gaming & Multimedia","Technology"
"ASML","0000937966","NASDAQ","Semiconductors","Technology"
"VOD","0000839923","NASDAQ","Telecommunications Services","Communication Services"
"RGEN","0000730272","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"FLUX","0001083743","NASDAQ","Electrical Equipment & Parts","Industrials"
"NVMI","0001109345","NASDAQ","Semiconductors","Technology"
"SSB","0000764038","NASDAQ","Banks - Regional","Financial Services"
"AAL","0000006201","NASDAQ","Airlines, Airports & Air Services","Industrials"
"ELVR","0002055296","NASDAQ","Other Precious Metals","Basic Materials"
"DKNG","0001883685","NASDAQ","Gambling, Resorts & Casinos","Consumer Cyclical"
"ONB","0000707179","NASDAQ","Banks - Regional","Financial Services"
"UMBF","0000101382","NASDAQ","Banks - Regional","Financial Services"
"GRFS","0001438569","NASDAQ","Drug Manufacturers - General","Healthcare"
"PCTY","0001591698","NASDAQ","Software - Application","Technology"
"PTGX","0001377121","NASDAQ","Biotechnology","Healthcare"
"OLED","0001005284","NASDAQ","Semiconductors","Technology"
"GAUZ","0001781446","NASDAQ","Hardware, Equipment & Parts","Technology"
"LEGN","0001801198","NASDAQ","Biotechnology","Healthcare"
"ACLX","0001786205","NASDAQ","Biotechnology","Healthcare"
"SIFY","0001094324","NASDAQ","Telecommunications Services","Communication Services"
"COMM","0001517228","NASDAQ","Communication Equipment","Technology"
"CHRD","0001486159","NASDAQ","Oil & Gas Exploration & Production","Energy"
"UPST","0001647639","NASDAQ","Financial - Credit Services","Financial Services"
"RUSHA","0001012019","NASDAQ","Auto - Dealerships","Consumer Cyclical"
"MMSI","0000856982","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"AMRX","0001723128","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"GSL","0001430725","NYSE","Marine Shipping","Industrials"
"GRAL","0001699031","NASDAQ","Medical - Diagnostics & Research","Healthcare"
"XMTR","0001657573","NASDAQ","Industrial - Machinery","Industrials"
"PEPG","0001835597","NASDAQ","Biotechnology","Healthcare"
"JTAI","0001861622","NASDAQ","Software - Application","Technology"
"PAX","0001825570","NASDAQ","Asset Management","Financial Services"
"FIZZ","0000069891","NASDAQ","Beverages - Non-Alcoholic","Consumer Defensive"
"PRGS","0000876167","NASDAQ","Software - Application","Technology"
"MXL","0001288469","NASDAQ","Semiconductors","Technology"
"PWP","0001777835","NASDAQ","Financial - Capital Markets","Financial Services"
"NAVI","0001593538","NASDAQ","Financial - Credit Services","Financial Services"
"TLRY","0001731348","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"PRTH","0001653558","NASDAQ","Software - Infrastructure","Technology"
"IMNM","0001472012","NASDAQ","Biotechnology","Healthcare"
"XNCR","0001326732","NASDAQ","Biotechnology","Healthcare"
"CMCO","0001005229","NASDAQ","Agricultural - Machinery","Industrials"
"HBCP","0001436425","NASDAQ","Banks - Regional","Financial Services"
"SRPT","0000873303","NASDAQ","Biotechnology","Healthcare"
"CWBC","0001051343","NASDAQ","Banks - Regional","Financial Services"
"PFBC","0001492165","NASDAQ","Banks - Regional","Financial Services"
"CLFD","0000796505","NASDAQ","Communication Equipment","Technology"
"GRCE","0001444192","NASDAQ","Biotechnology","Healthcare"
"CCSI","0001866633","NASDAQ","Software - Infrastructure","Technology"
"JBIO","0001798749","NASDAQ","Biotechnology","Healthcare"
"KIDS","0001425450","NASDAQ","Medical - Devices","Healthcare"
"CIVB","0000944745","NASDAQ","Banks - Regional","Financial Services"
"FTRE","0001965040","NASDAQ","Biotechnology","Healthcare"
"ASTE","0000792987","NASDAQ","Agricultural - Machinery","Industrials"
"OSBC","0000357173","NASDAQ","Banks - Regional","Financial Services"
"UPBD","0000933036","NASDAQ","Software - Application","Technology"
"QVCGB","0001355096","NASDAQ","Specialty Retail","Consumer Cyclical"
"GAINI","0001321741","NASDAQ","Asset Management","Financial Services"
"TBPH","0001583107","NASDAQ","Biotechnology","Healthcare"
"MSEX","0000066004","NASDAQ","Regulated Water","Utilities"
"GOGO","0001537054","NASDAQ","Telecommunications Services","Communication Services"
"SRZN","0001824893","NASDAQ","Biotechnology","Healthcare"
"SANA","0001770121","NASDAQ","Biotechnology","Healthcare"
"BBSI","0000902791","NASDAQ","Staffing & Employment Services","Industrials"
"AMRK","0001591588","NASDAQ","Financial - Capital Markets","Financial Services"
"ARVN","0001655759","NASDAQ","Biotechnology","Healthcare"
"PDFS","0001120914","NASDAQ","Software - Application","Technology"
"CRON","0001656472","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"LGMK","0001566826","NASDAQ","Security & Protection Services","Industrials"
"MCBS","0001747068","NASDAQ","Banks - Regional","Financial Services"
"PLSE","0001625101","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"LIND","0001512499","NASDAQ","Travel Services","Consumer Cyclical"
"TLS","0000320121","NASDAQ","Information Technology Services","Technology"
"SGML","0001848309","NASDAQ","Industrial Materials","Basic Materials"
"COCO","0001482981","NASDAQ","Beverages - Non-Alcoholic","Consumer Defensive"
"FMBH","0000700565","NASDAQ","Banks - Regional","Financial Services"
"TYRA","0001863127","NASDAQ","Biotechnology","Healthcare"
"FSUN","0001709442","NASDAQ","Banks - Regional","Financial Services"
"SKYT","0001819974","NASDAQ","Semiconductors","Technology"
"ASPI","0001921865","NASDAQ","Chemicals","Basic Materials"
"GSBC","0000854560","NASDAQ","Banks - Regional","Financial Services"
"MNMD","0001813814","NASDAQ","Biotechnology","Healthcare"
"HELE","0000916789","NASDAQ","Household & Personal Products","Consumer Defensive"
"FFWM","0001413837","NASDAQ","Banks - Regional","Financial Services"
"OCFC","0001004702","NASDAQ","Banks - Regional","Financial Services"
"BMRC","0001403475","NASDAQ","Banks - Regional","Financial Services"
"SENEA","0000088948","NASDAQ","Packaged Foods","Consumer Defensive"
"WEST","0001806347","NASDAQ","Packaged Foods","Consumer Defensive"
"KOPN","0000771266","NASDAQ","Hardware, Equipment & Parts","Technology"
"VIR","0001706431","NASDAQ","Biotechnology","Healthcare"
"ABUS","0001447028","NASDAQ","Biotechnology","Healthcare"
"CLSKW","0000827876","NASDAQ","Financial - Capital Markets","Financial Services"
"SCSC","0000918965","NASDAQ","Technology Distributors","Technology"
"INNV","0001834376","NASDAQ","Medical - Care Facilities","Healthcare"
"KFII","0002029976","NASDAQ","Shell Companies","Financial Services"
"MGNI","0001595974","NASDAQ","Advertising Agencies","Communication Services"
"ESTA","0001688757","NASDAQ","Medical - Devices","Healthcare"
"ATHR","0002026353","NASDAQ","Software - Application","Technology"
"ATEX","0001304492","NASDAQ","Telecommunications Services","Communication Services"
"SYBT","0000835324","NASDAQ","Banks - Regional","Financial Services"
"OKUR","0001637715","NASDAQ","Biotechnology","Healthcare"
"CHA","0002013649","NASDAQ","Beverages - Non-Alcoholic","Consumer Defensive"
"TURB","0001963439","NASDAQ","Solar","Energy"
"UVSP","0000102212","NASDAQ","Banks - Regional","Financial Services"
"STRA","0001013934","NASDAQ","Education & Training Services","Consumer Defensive"
"JFIN","0001743102","NASDAQ","Internet Content & Information","Communication Services"
"BAND","0001514416","NASDAQ","Software - Infrastructure","Technology"
"POM","0001877971","NASDAQ","Medical - Pharmaceuticals","Healthcare"
"QTRX","0001503274","NASDAQ","Medical - Devices","Healthcare"
"HRZN","0001487428","NASDAQ","Asset Management","Financial Services"
"AVIR","0001593899","NASDAQ","Biotechnology","Healthcare"
"BRSP","0001717547","NYSE","REIT - Diversified","Real Estate"
"TDAC","0001673481","NASDAQ","Shell Companies","Financial Services"
"SOHO","0001301236","NASDAQ","REIT - Hotel & Motel","Real Estate"
"BTAI","0001720893","NASDAQ","Biotechnology","Healthcare"
"NWSA","0001564708","NASDAQ","Entertainment","Communication Services"
"EDRY","0001731388","NASDAQ","Marine Shipping","Industrials"
"MBCN","0000836147","NASDAQ","Banks - Regional","Financial Services"
"RYM","0001800637","NASDAQ","Agricultural - Machinery","Industrials"
"UEIC","0000101984","NASDAQ","Consumer Electronics","Technology"
"PYPD","0001611842","NASDAQ","Biotechnology","Healthcare"
"LTRN","0001763950","NASDAQ","Biotechnology","Healthcare"
"NIXX","0001462223","NASDAQ","Staffing & Employment Services","Industrials"
"SWAG","0001872525","NASDAQ","Advertising Agencies","Communication Services"
"MKLYR","0002067592","NASDAQ","Asset Management","Financial Services"
"TVAIR","0001872228","NASDAQ","Shell Companies","Financial Services"
"PAAS","0000771992","NASDAQ","Silver","Basic Materials"
"LCFY","0001875547","NASDAQ","Internet Content & Information","Communication Services"
"IMTX","0001809196","NASDAQ","Biotechnology","Healthcare"
"SNOA","0001367083","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"KURA","0001422143","NASDAQ","Biotechnology","Healthcare"
"QCLS","0001607963","NASDAQ","Software - Services","Technology"
"BFS","0000907254","NYSE","REIT - Retail","Real Estate"
"NBN","0000811831","NASDAQ","Banks - Regional","Financial Services"
"TREE","0001434621","NASDAQ","Financial - Conglomerates","Financial Services"
"NCI","0001916331","NASDAQ","Apparel - Manufacturers","Consumer Cyclical"
"SNAX","0001691936","NASDAQ","Packaged Foods","Consumer Defensive"
"MAAS","0001750264","NASDAQ","Asset Management","Financial Services"
"CREG","0000721693","NASDAQ","Renewable Utilities","Utilities"
"BNRG","0001901215","NASDAQ","Renewable Utilities","Utilities"
"WT","0000880631","NYSE","Asset Management","Financial Services"
"PMAX","0002012096","NASDAQ","Specialty Business Services","Industrials"
"ZCMD","0001785566","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"IRWD","0001446847","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"FULC","0001680581","NASDAQ","Biotechnology","Healthcare"
"CDZI","0000727273","NASDAQ","Regulated Water","Utilities"
"DRUG","0001827401","NASDAQ","Biotechnology","Healthcare"
"XNET","0001510593","NASDAQ","Advertising Agencies","Communication Services"
"SOBR","0001425627","NASDAQ","Hardware, Equipment & Parts","Technology"
"JD","0001549802","NASDAQ","Specialty Retail","Consumer Cyclical"
"RDAG","0002047497","NASDAQ","Shell Companies","Financial Services"
"NATR","0000275053","NASDAQ","Packaged Foods","Consumer Defensive"
"APXTU","0002079253","NASDAQ","Shell Companies","Financial Services"
"FBYD","0001937987","NASDAQ","Conglomerates","Industrials"
"PFIS","0001056943","NASDAQ","Banks - Regional","Financial Services"
"DHAI","0001883788","NASDAQ","Medical - Devices","Healthcare"
"MAR","0001048286","NASDAQ","Travel Lodging","Consumer Cyclical"
"ORLY","0000898173","NASDAQ","Auto - Parts","Consumer Cyclical"
"CCAP","0001633336","NASDAQ","Asset Management","Financial Services"
"AURA","0001501796","NASDAQ","Biotechnology","Healthcare"
"SLE","0001621672","NASDAQ","Internet Content & Information","Communication Services"
"BSLKW","0001841125","NASDAQ","Financial - Conglomerates","Financial Services"
"CDNS","0000813672","NASDAQ","Software - Application","Technology"
"VLGEA","0000103595","NASDAQ","Grocery Stores","Consumer Defensive"
"HCKT","0001057379","NASDAQ","Information Technology Services","Technology"
"PYXS","0001782223","NASDAQ","Biotechnology","Healthcare"
"VCIG","0001930510","NASDAQ","Consulting Services","Industrials"
"PACB","0001299130","NASDAQ","Medical - Devices","Healthcare"
"DVLT","0001682149","NASDAQ","Information Technology Services","Technology"
"HNST","0001530979","NASDAQ","Specialty Retail","Consumer Cyclical"
"NRIM","0001163370","NASDAQ","Banks - Regional","Financial Services"
"XRPNW","0002044009","NASDAQ","Asset Management","Financial Services"
"BINI","0001499961","NASDAQ","Auto - Manufacturers","Consumer Cyclical"
"CZFS","0000739421","NASDAQ","Banks - Regional","Financial Services"
"TRNS","0000099302","NASDAQ","Industrial - Distribution","Industrials"
"CBLL","0001861107","NASDAQ","Medical - Devices","Healthcare"
"PLAY","0001525769","NASDAQ","Entertainment","Communication Services"
"GEVO","0001392380","NASDAQ","Chemicals - Specialty","Basic Materials"
"GGAL","0001114700","NASDAQ","Banks - Regional","Financial Services"
"SERV","0001832483","NASDAQ","Industrial - Machinery","Industrials"
"UNTY","0000920427","NASDAQ","Banks - Regional","Financial Services"
"FIP","0001899883","NASDAQ","Conglomerates","Industrials"
"RSVR","0001824403","NASDAQ","Entertainment","Communication Services"
"XTLB","0001023549","NASDAQ","Biotechnology","Healthcare"
"VREX","0001681622","NASDAQ","Medical - Devices","Healthcare"
"FDMT","0001650648","NASDAQ","Biotechnology","Healthcare"
"RBBN","0001708055","NASDAQ","Telecommunications Services","Communication Services"
"FUFU","0001921158","NASDAQ","Financial - Capital Markets","Financial Services"
"RNAC","0001453687","NASDAQ","Biotechnology","Healthcare"
"BSVN","0001746129","NASDAQ","Banks - Regional","Financial Services"
"SMBC","0000916907","NASDAQ","Banks - Regional","Financial Services"
"SMBK","0001038773","NASDAQ","Banks - Regional","Financial Services"
"QLGN","0001460702","NASDAQ","Biotechnology","Healthcare"
"CCRN","0001141103","NASDAQ","Medical - Care Facilities","Healthcare"
"ECX","0001861974","NASDAQ","Auto - Parts","Consumer Cyclical"
"BCAL","0001795815","NASDAQ","Banks - Regional","Financial Services"
"LWLG","0001325964","NASDAQ","Chemicals - Specialty","Basic Materials"
"CLLS","0001627281","NASDAQ","Biotechnology","Healthcare"
"KRNT","0001625791","NASDAQ","Industrial - Machinery","Industrials"
"BWMN","0001847590","NASDAQ","Engineering & Construction","Industrials"
"MKZR","0001550913","NASDAQ","REIT - Diversified","Real Estate"
"AQST","0001398733","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"NVCT","0001875558","NASDAQ","Biotechnology","Healthcare"
"RR","0001963685","NASDAQ","Industrial - Machinery","Industrials"
"GLXY","0001859392","NASDAQ","Financial - Capital Markets","Financial Services"
"RPAY","0001720592","NASDAQ","Software - Infrastructure","Technology"
"KVUE","0001944048","NYSE","Household & Personal Products","Consumer Defensive"
"AVXL","0001314052","NASDAQ","Biotechnology","Healthcare"
"LRMR","0001374690","NASDAQ","Biotechnology","Healthcare"
"LZMH","0001967397","NASDAQ","Information Technology Services","Technology"
"RMBS","0000917273","NASDAQ","Semiconductors","Technology"
"AEIS","0000927003","NASDAQ","Electrical Equipment & Parts","Industrials"
"LKSPU","0002043508","NASDAQ","Shell Companies","Financial Services"
"ASLE","0001754170","NASDAQ","Airlines, Airports & Air Services","Industrials"
"LVRO","0001945711","NASDAQ","Agricultural Inputs","Basic Materials"
"OCCI","0001716951","NASDAQ","Asset Management","Financial Services"
"LAMR","0001090425","NASDAQ","REIT - Specialty","Real Estate"
"PNBK","0001098146","NASDAQ","Banks - Regional","Financial Services"
"PONY","0001969302","NASDAQ","Rental & Leasing Services","Industrials"
"CCLD","0001582982","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"TRVI","0001563880","NASDAQ","Biotechnology","Healthcare"
"CRCT","0001828962","NASDAQ","Computer Hardware","Technology"
"DMIIU","0002040475","NASDAQ","Asset Management","Financial Services"
"EFTY","0002058349","NASDAQ","Asset Management","Financial Services"
"SATL","0001874315","NASDAQ","Hardware, Equipment & Parts","Technology"
"STBA","0000719220","NASDAQ","Banks - Regional","Financial Services"
"VRTS","0000883237","NASDAQ","Asset Management","Financial Services"
"CRTO","0001576427","NASDAQ","Advertising Agencies","Communication Services"
"VIVS","0001497253","NASDAQ","Biotechnology","Healthcare"
"AZN","0000901832","NASDAQ","Drug Manufacturers - General","Healthcare"
"IVF","0001417926","NASDAQ","Medical - Devices","Healthcare"
"ASTI","0001350102","NASDAQ","Solar","Energy"
"ANNX","0001528115","NASDAQ","Biotechnology","Healthcare"
"IDXX","0000874716","NASDAQ","Medical - Diagnostics & Research","Healthcare"
"STX","0001137789","NASDAQ","Computer Hardware","Technology"
"FTNT","0001262039","NASDAQ","Software - Infrastructure","Technology"
"FSHPU","0001850059","NASDAQ","Shell Companies","Financial Services"
"ARAY","0001138723","NASDAQ","Medical - Devices","Healthcare"
"GECCI","0001675033","NASDAQ","Asset Management","Financial Services"
"FGNX","0001591890","NASDAQ","Insurance - Diversified","Financial Services"
"ASYS","0000720500","NASDAQ","Semiconductors","Technology"
"FGMC","0001906133","NASDAQ","Shell Companies","Financial Services"
"BAER","0001941536","NASDAQ","Security & Protection Services","Industrials"
"BBCP","0001703956","NASDAQ","Engineering & Construction","Industrials"
"ALMU","0001828805","NASDAQ","Semiconductors","Technology"
"EPSN","0001726126","NASDAQ","Oil & Gas Exploration & Production","Energy"
"NCSM","0001692427","NASDAQ","Oil & Gas Equipment & Services","Energy"
"ELDN","0001404281","NASDAQ","Biotechnology","Healthcare"
"OVID","0001636651","NASDAQ","Biotechnology","Healthcare"
"RPD","0001560327","NASDAQ","Software - Infrastructure","Technology"
"EVGO","0001821159","NASDAQ","Specialty Retail","Consumer Cyclical"
"PDEX","0000788920","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"PNTG","0001766400","NASDAQ","Medical - Care Facilities","Healthcare"
"HSPTU","0002032950","NASDAQ","Shell Companies","Financial Services"
"COKE","0000317540","NASDAQ","Beverages - Non-Alcoholic","Consumer Defensive"
"IQ","0001722608","NASDAQ","Entertainment","Communication Services"
"IDCC","0001405495","NASDAQ","Software - Application","Technology"
"LYB","0001489393","NYSE","Chemicals - Specialty","Basic Materials"
"CABA","0001759138","NASDAQ","Biotechnology","Healthcare"
"MGA","0000749098","NYSE","Auto - Parts","Consumer Cyclical"
"ROKU","0001428439","NASDAQ","Entertainment","Communication Services"
"ARCC","0001287750","NASDAQ","Asset Management","Financial Services"
"ROIV","0001635088","NASDAQ","Biotechnology","Healthcare"
"AVAV","0001368622","NASDAQ","Aerospace & Defense","Industrials"
"ICUI","0000883984","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"COO","0000711404","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"PVLA","0001583648","NASDAQ","Biotechnology","Healthcare"
"KYIV","0002062440","NASDAQ","Telecommunications Services","Communication Services"
"SFNC","0000090498","NASDAQ","Banks - Regional","Financial Services"
"APLS","0001492422","NASDAQ","Biotechnology","Healthcare"
"SLNO","0001484565","NASDAQ","Biotechnology","Healthcare"
"HIMX","0001342338","NASDAQ","Semiconductors","Technology"
"MXCT","0001287098","NASDAQ","Medical - Devices","Healthcare"
"TERN","0001831363","NASDAQ","Biotechnology","Healthcare"
"BRCB","0002068577","NASDAQ","Food Confectioners","Consumer Defensive"
"LGN","0002052568","NASDAQ","Engineering & Construction","Industrials"
"SUPN","0001356576","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"XRPN","0002081125","NASDAQ","Asset Management","Financial Services"
"SBUX","0000829224","NASDAQ","Restaurants","Consumer Cyclical"
"VEON","0001468091","NASDAQ","Telecommunications Services","Communication Services"
"HCACU","0002079013","NASDAQ","Asset Management","Financial Services"
"ONEG","0002030834","NASDAQ","Engineering & Construction","Industrials"
"TCBX","0001781730","NASDAQ","Banks - Regional","Financial Services"
"CURX","0002025942","NASDAQ","Biotechnology","Healthcare"
"ANGO","0001275187","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"EMPG","0002005569","NASDAQ","Home Improvement","Consumer Cyclical"
"TBH","0001903595","NASDAQ","Electronic Gaming & Multimedia","Technology"
"DNMXW","0002081125","NASDAQ","Asset Management","Financial Services"
